"""都市ガスの原料及びその取り扱いに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　LNGは貯蔵中に外部からの入熱により沸点の低いメタンを主とするボイルオフガス(BOG)が発生するため、メタン以外の成分の濃度が高まる。これを濃縮と呼ぶ。

（口）　LNGが漏えいし、大気中に気化、拡散したとき、燃焼範囲内の濃度にある混合気が、火気に接すると着火する。拡散ガスに着火すると、火炎が伝播し液表面での燃焼となる。これをプール燃焼という。

（ハ）　シェールガスとは、主に砂岩層が貯留層となっている従来のガス田ではなく、泥岩(頁岩)層に含まれる非在来型天然ガスの一種である。

（二）LNGの受入配管等では、外部からの入熱により過熱状態になっている場合、弁の開放等により圧力が急激に減少し、LNGの一部が気化され、鉛直配管部では液・気相間の急激な相転移が連続的に生じる。これによって発生する配管の振動現象をウォーターハンマーという。

（ホ）　LPG中にH₂S等の硫黄化合物が含まれていないことが求められる。これは、LPG貯蔵タンクの材料として高張力鋼が使用される場合が多いが、溶着金属部、熱影響部等に粒界腐食が発生する可能性があるためである。""",イ、ハ,イ、ホ,口、ハ,口、ニ,二、ホ,,,,,二、ホ,"""LNGの受入配管等では、配管外部からの入熱により過熱状態になっており、弁の開放等により圧力が急激に減少した場合、LNGの一部が気化され鉛直配管部では液・気相間の急激な相転移が連続的に生じる。これによって発生する配管の振動現象をガイザリングという。
[都市ガス工業概要 (製造編) P13 2.2.2.3 取扱上の留意事項 (9)]
LPG貯蔵タンクの材料として、高張力鋼が使用される場合が多いが、溶接金属部、熱影響部等に応力腐食割れが発生する可能性があるためである。
[都市ガス工業概要 (製造編) P24 2.3.1 性状 (1)]"""
"""都市ガスの製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　PC式平底円筒形貯槽は、金属二重殼式貯槽と防液堤を一体化した貯槽であり、内槽と外槽の間の空間には、外部入熱を防ぐため断熱材(パーライト)が充てんされ、断熱効果を高めるため高度の真空状態に保たれている。

（ロ）　斜流ポンプは、遠心力と羽根の揚力によって液体に圧力を与えるものである。

（ハ）　ポンプの性能曲線図は、ポンプの規定回転数における吐出量、全揚程、ポンプ効率、軸動力等の関係を示すものである。

（二）　LPGポンプは、LNG1次受入基地等では遠心式サブマージドポンプ、LNG2次受入基地やLNGサテライト基地等ではベーン式ポンプ、キャンドモーターポンプが用いられる場合が多い。

（ホ）ポンプのキャビテーションを防止するためには、有効吸込ヘッドを必要有効吸込へッドより小さくする必要がある。""",イ、ロ,イ、ホ,口、ニ,ハ、二,ハ、ホ,,,,,イ、ホ,"""内槽と外槽の間の空間には、外部入熱を防ぐため断熱材(パーライト)と不活性ガス(窒素)を充てんしている。
[都市ガス工業概要 (製造編) P41 3.3.1 地上式LNG貯槽 (１) （2）]
ポンプのキャビテーションを防止するためには、常に有効吸込ヘッド>必要有効吸込ヘッドの関係を維持しなければならない。
[都市ガス工業概要 (製造編) P58 3.5.1 ポンプ (4) ②]"""
"""製造所の電気設備及び計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　無停電電源装置(UPS)の原理は、交流入力を整流部で直流に変換し蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力される。

（ロ）　外部雷保護システムは、雷撃によって生ずる火災、設備破損又は人畜への傷害を防止することを目的とするもので、受雷部システム、引下げ導線システム及び接地システム等から構成される。

（ハ）　遠隔操作弁では、弁体の開閉動作をする可動部にスピードコントローラーを取り付け、電気信号により制御システムに開閉状態を伝えることができる。

（ニ）　超音波式流量計は、流体が腐食性のものやスラリー状のもの及びダスト含有のものの影響は受けないが、温度・密度・粘度の影響は受けやすい。

（ホ）　ディスプレースメント式液面計は、測定範囲が広く、液密度の変化が測定誤差となるが、精度は高い。""",イ、ロ,イ、ホ,口、ニ,ハ、ニ,ハ、ホ,,,,,ハ、ニ,"""弁体の開閉動作をする可動部の全開、全閉位置などにリミットスイッチを取り付け、電気信号により制御システムに開閉状態を伝えることができる。
[都市ガス工業概要 (製造編) P126 3.12.5 遠隔操作弁 (3)]
超音波式流量計は、 流体の温度・密度・粘度の影響を受けない。
[都市ガス工業概要 (製造編) P113 3.12.4 計測機器 (3)]"""
"""都市ガスの熱量調整と燃焼性管理に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　燃焼速度は、ガスの組成、空気比等の条件により変化する値であり、どのガスでも組成に応じてある空気比のときに最大となる。この値を最大燃焼速度(MCP)という。

（ロ）　ウォッベ指数(WI)は次式で表される。WI　=　H　/　√s
ここでHはガスの総発熱量(MJ/㎥)、sはガスの密度(kg/㎥)である。

（ハ）　天然ガス(発熱量: 43MJ/㎥)をLPG(発熱量: 100MJ/㎥)で増熱して45MJ/㎥の13Aガスを50000㎥製造する場合の天然ガスの必要量X(㎥)は、次式を解くことによって求められる。
43　×　X　+　100　×　(50000　-　X)　=　45　×　50000

（ニ）　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI-MCP図で、混合ガスの燃焼性の範囲を確認する。

（ホ）液ーガス熱量調整方式により天然ガス(NG)をLPGで熱量調整する場合、NGの温度により運転範囲の制限を受ける場合があり、LPGの混合量を制限するか、NGの予熱が必要になる。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,口、二,"""ウォッベ指数　(WI)　は、ガスの総発熱量　(MJ/m³)　/　√ガスの比重(空気 = 1) の式で表される。
[都市ガス工業概要 (製造編) P145 4.2.2 燃焼性]
LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的遅いため、WI-MCP図で、混合ガスの燃焼性の範囲を確認する。
〔都市ガス工業概要 (製造編) P150 4.3.2 増熱と希釈 (1)〕"""
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　付臭剤の備えるべき要件の一つとして、一般に存在するにおい(生活臭)とは明瞭に区別でき、 かつ、だれもがガス臭であると認識できるにおいであることがあげられる。

（ロ）　ガスの臭気濃度は、高すぎるとガス器具の点火や消火の際のわずかな未燃ガス等をガスの漏えいと誤認しやすくなる一方、低すぎると漏えいを検知しにくくなることがある。

（ハ）　代表的な付臭剤であるターシャリーブチルメルカプタン(TBM)、ジメチルサルファイド (DMS)、シクロヘキセンは、いずれも構成元素に硫黄(S)を含む。

（二）　付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び液付臭方式の3種類があるが、液付臭方式では製造するガス流量に応じた付臭剤注入量の制御が不要である。

（ホ）　パネル法による臭気濃度の測定において、4人のパネルの感知希釈倍数がそれぞれ3000倍、1500倍、1500倍、1500倍であったとき、このガスの臭気濃度は1500倍である。""",イ、ロ,イ、ニ,口、ホ,ハ、二,ハ、ホ,,,,,ハ、ホ,"""シクロヘキセンは構成元素に硫黄(S)を含まない。
[都市ガス工業概要 (製造編) P170 6.2 付臭剤　表 6.1 代表的な付臭剤成分と物性]
(3000　+　1500　+　1500　+　1500)　/　4　=　1800（切り捨てにより有効数字2けた）
[都市ガス工業概要 (製造編) P175 176 6.4.2 臭気濃度の測定方法 (1) 3　表 6.4 臭気濃度の計算例]"""
"""製造所の停電対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　買電のみで保安電力を確保するためには、常用線とは系統の異なる予備回線又はそれに相当するもの等保安電力として措置されたものが必要である。

（ロ）　非常用発電設備の定格容量は、負荷の積み上げ合計値と同じでよい。

（ハ）　BOG 圧縮機の停止時間が長くなるとLNG貯槽の内部圧力が上昇するので、内部圧力の監視を強化し、必要に応じて放散処理設備による降圧の準備等を行う。

（ニ）　停電が発生した場合、買電で稼働していたガス製造設備が安全側に移行、停止していること及び保安電源等が正常に作動していることを確認する必要がある。

（ホ）　保安電力は、買電(保安電力として措置されたものに限る)又は自家発電によるものとし、蓄電池を用いてはならない。""",イ、ハ,イ、ホ,ロ、ホ,ハ、二,ハ、ホ,,,,,ロ、ホ,"""非常用発電設備の定格容量は、負荷の積み上げ合計値よりも十分大きいものが必要となる。
[都市ガス工業概要 (製造編) P133　3.13.2 保安電源 (1)]
保安電力は、買電、自家発電、蓄電池等による電力又は電力以外の動力源の中から選定する。
[都市ガス工業概要 (製造編) P132 3. 13.2 保安電源]"""
"""製造設備の操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　ボイルオフガス(BOG)を送出ガスに混入する場合には、熱量調整用LPGの混入量増加等、送出ガスの品質管理に留意する必要がある。

（ロ）　LNG貯槽内のロールオーバー現象の発生を防止するため、貯槽内LNGの水平方向の密度分布を監視することが必要である。

（ハ）　個別設備の稼働調整方式の1つである圧力制御方式は、急激な需要変動に追従できる制御方式である。

（ニ）　ガス製造能力に関係する設備の定期修理計画策定にあたっては、ガス製造計画・製造設備稼働計画を元にして、ピーク時における最大必要能力を確保した定期修理計画を策定する。

（ホ）　製造設備の巡視点検は、保安規程に定める内容等に基づき実施するものとし、目視等の五感に頼らないことが重要である。""",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,口、ホ,"""LNG貯槽内のロールオーバー現象の発生を防止するため、受入中の貯槽内LNGの高さ方向の密度分布を常時監視する必要がある。
[都市ガス工業概要 (製造編) P12　2.2.2.3 取扱上の留意事項 (5) <層状化の防止 > ]
製造設備の巡視点検は、保安規程に定める内容を満足するほか、現場にて主として目視等の五感により、運転状況、外面からの損傷、漏えい、汚れ、振動、異音及び取り付け状況等を点検する。
[都市ガス工業概要 (製造編) P230 9.6.4 巡視点検]"""
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　溶接部において溶融金属が冷却される際に収縮することにより、圧縮の残留応力が生じる。

（ロ）　部材に形状的な不連続や切り欠きが存在して応力集中が高くなるほど、疲労強度は低下する。

（ハ）　材料表面層の残留応力は引張りの場合は疲労強度の低下、圧縮の場合は上昇の方向へ作用する。

（ニ）　超音波探傷試験(UT)は、検査物の片側だけから検査できるが、割れのような平面欠陥の検出には適さない。

（ホ）　放射線透過試験(RT)は、欠陥の形状をフィルム上に投影された像として見ることができるので、わかりやすい。""",イ、ニ,イ、ホ,ロ、ハ,口、ホ,ハ、ニ,,,,,イ、ニ,"""溶接部において溶接金属が冷却される際に収縮することにより、引張りの残留応力が生じる。
[都市ガス工業概要 (製造編) P252　10.3.1 劣化と対策 (2) ④ (c)]
超音波探傷試験　(UT)　は、割れのような平面欠陥の検出に適している。
[都市ガス工業概要 (製造編) P257 10.3.2 検査 (3) ② (b)]"""
"""環境対策及び省エネルギーに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　都市ガスの燃料の場合は、燃焼管理を十分に行うことで、ばいじんの発生を大きく抑制することができる。

（ロ）　燃焼排ガスの脱硝法には、酸化剤としてアンモニア、尿素等を用いて、排ガス中のNOxを選択的に窒素に酸化する方法がある。

（ハ）　すべての水域において水素イオン濃度指数(pH)は、常に規制される項目の1つであり、多くの水中生物、農作物にとって望ましい水のpHは、5.8～8.6である。

（ニ）　有機物質を含む生物化学的酸素要求量(BOD)の高い排水の処理には、バクテリア等微生物の力を利用する生物処理方法がある。

（ホ）　電気エネルギーの管理では、力率を0に近づけると省エネルギー効果を上げることができる。""",イ、ハ,イ、ニ,口、ハ,ロ、ホ,二、ホ,,,,,ロ、ホ,"""燃焼排ガスの脱硝法には、還元剤としてアンモニア、尿素等を用いて、排ガス中のNOxを選択的に窒素に還元する方法がある。
[都市ガス工業概要 (製造編) P265 11.2.1 大気汚染の防止 (3) ④　]
交流回路の電力は、力率が1に近いほど損失が少ない。
[都市ガス工業概要 (製造編) P271 11.3.3 エネルギー管理 (2)　表11.2 エネルギー使用の合理化と電気の需要の平準化の有効な施策例 *1]"""
"""都市ガスの原料に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　バイオガスは二酸化炭素や有害成分が含まれるため、都市ガス原料とするには精製する必要がある。 

ロ　軽質と重質の異種LNGを同じ貯槽に受け入れる場合、ロールオーバーの原因となる層状化を生じさせないよう注意深く受入方法を設定する必要がある。 

ハ　LNGポンプの運転においては、急激な圧力上昇や温度低下により、キャビテーションが発生しないように注意する。 

ニ　天然ガスの液化工程において行われる重質分除去は、低温部材として広く利用されるアルミニウムの腐食防止の観点から重要である。 

ホ　配管等をクールダウンする際は、配管下部と上部の温度差が大きくなることによりボーイングが生じないよう、時間をかけることが必要である。 """,イ、ロ,ロ、ハ,イ、ホ,ハ、ニ,ニ、ホ,,,,,ハ、ニ,"LNGポンプの運転においては、急激な圧力低下や温度上昇により、キャビテーションが発生しないように注意する。
[都市ガス工業概要 (製造編) P11 2.2.2.3 取扱上の留意事項 (1)]
天然ガスの液化工程の水銀除去は、低温部材として広く使用されるアルミニウムを腐食する水銀を除去する。
［都市ガス工業概要 (製造編) P15 2.2.2.4 LNGプロジェクト (2) 4］"
